NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
Kepler-10 c,0.0531039,0.239656,45.29485,,90,2454971.6861,3.26,Fressin 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....5F,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,0,0,0,0,0.054117,173,0.209653,0.895,-0.15,2011,Transit,1.056,5627
HD 90156 b,0.0565295,0.249855,49.77,0.31,113,2454775.1,3.69,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,0,0,0,0,0.0565295,22.3514,,0.84,-0.24,2011,RV,0.920961,5599
Kepler-786 b,,0.259117,53.5293487,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0188877,512,0.217,0.81,0.09,2016,Transit,0.74,4838
Kepler-259 c,,0.217013,36.924931,,90,2455007.22336,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0222169,,0.240878,,,2014,Transit,0.898,5938
Kepler-444 b,,0.0419153,3.6001053,0.16,,2454966.2599,,Campante 2015,http://adsabs.harvard.edu/abs/2015ApJ...799..170C,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0,0,0,0,0.000134008,35.7,0.0367,0.758,-0.55,2010,Transit,0.752,5046
Kepler-550 b,,0.078424,8.60010411,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0642153,563,0.394,0.87,-0.02,2016,Transit,0.83,5322
Kepler-304 d,,0.0887283,9.653471,,90,2454967.85589,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0229193,,0.245339,,,2014,Transit,0.687,4731
Kepler-150 e,,0.192408,30.826557,,90,2454986.01043,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0290307,,0.278348,,,2014,Transit,0.939,5560
Kepler-218 c,,0.246495,44.699576,,90,2455007.82235,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.029411,,0.280132,,,2014,Transit,1.063,5502
Pr 211 b,1.84394,0.0320419,2.1451,0,90,2456013.9889,299.9,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,0,0,0,0,1.84394,170,,0.952,0.187,2012,RV,0.868,5326
Kepler-203 b,,0.0421675,3.162697,,90,2455002.64158,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0205131,,0.22928,,,2014,Transit,1.114,5821
GJ 3138 b,0.00576851,0.0196594,1.22002563,0.21239,223.256,2456684.428898318,1.45056,Astudillo-Defru 2017 (corrected; private communication),http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,0,0,0,0,0.00576851,29.9043,,0.681,-0.3,2017,RV,0.5,3717
Kepler-981 b,,0.0527478,4.46975774,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0175728,913,0.206,0.98,0.01,2016,Transit,0.96,5718
Kepler-6 b,0.668332,0.0456089,3.234723,0,90,2454954.48636,80.9,Dunham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.136D,Dunham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.136D,0,0,0,0,0.669376,,1.323,1.209,0.34,2010,Transit,1.391,5647
K2-19 b,,0.0758978,7.9194,,,,,Sinukoff 2016,http://adsabs.harvard.edu/abs/2016ApJ...827...78S,Montet 2015,http://adsabs.harvard.edu/abs/2015ApJ...809...25M,0,0,0,0,0.228032,292.141,0.645267,0.93,0.1,2015,Transit,0.86,5430
Kepler-501 b,,0.0626287,5.64067757,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.060903,1044,0.384,1.03,-0.03,2016,Transit,1.04,5904
Kepler-244 d,,0.14444,20.050401,,90,2455021.08718,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0175824,,0.206084,,,2014,Transit,0.803,5554
WASP-156 b,0.130506,0.0452895,3.836169,0,90,2454677.707,19,Demangeon 2018,http://adsabs.harvard.edu/abs/2018A%26A...610A..63D,Demangeon 2018,http://adsabs.harvard.edu/abs/2018A%26A...610A..63D,0,0,0,0,0.130522,140,0.518059,0.842,0.24,2018,Transit,0.76,4910
24 Sex c,1.51716,2.24032,910,0.412,352,2454941,23.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,0,0,0,0,1.51716,77.4593,,1.81,-0.01,2011,RV,3.92062,5069
HIP 65407 b,0.430669,0.176696,28.125,0.14,50,2456988.4,30.5,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,0,0,0,0,0.430669,59.7372,,0.93,0.25,2016,RV,,5460
Kepler-358 b,,0.20564,34.060467,,90,2454974.36327,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0224946,,0.242662,,,2014,Transit,0.954,5908
Kepler-373 c,,0.127997,16.725948,,90,2454976.74868,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00621274,,0.110625,,,2014,Transit,0.845,5787
HATS-13 b,0.542224,0.0405861,3.0440499,,90,2456340.31705,78,Mancini 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..63M,Mancini 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..63M,0,0,0,0,0.542398,476,1.212,0.962,0.05,2015,Transit,0.887,5523
Kepler-466 c,,0.0475122,3.70921385,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00648186,436,0.112,1.04,-0.01,2016,Transit,1.05,5927
Kepler-1074 b,,0.054174,5.94566534,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00648186,245,0.112,0.6,-0.06,2016,Transit,0.57,4002
